Suburb,avg_price,median_price,avg_building_area,total_revenue,transaction_count,avg_price_per_room,avg_landsize,price_to_area_ratio,revenue_pct,cumulative_revenue_pct,pareto_80
Highett,1267148.148148148,1225000.0,159.92592592592592,34213000.0,27,407382.7162962963,503.4074074074074,7923.34,0.236,85.475,False
Chadstone,965242.8571428572,965000.0,135.82857142857142,33783500.0,35,305200.0002857143,491.6857142857143,7106.33,0.233,85.708,False
Wheelers Hill,1251488.4615384615,1203000.0,199.96153846153845,32538700.0,26,306654.1669230769,734.0384615384615,6258.65,0.224,85.932,False
Braybrook,684102.1739130435,665000.0,129.91304347826087,31468700.0,46,240241.4854347826,546.804347826087,5265.85,0.217,86.149,False
West Melbourne,994677.4193548387,995000.0,121.88709677419355,30835000.0,31,415607.5270967742,168.25806451612902,8160.65,0.213,86.362,False
Beaumaris,1701277.7777777778,1635500.0,195.22222222222223,30623000.0,18,470666.6666666667,634.9444444444445,8714.57,0.211,86.573,False
Parkdale,1271052.0833333333,1260000.0,163.875,30505250.0,24,391741.31916666665,497.75,7756.23,0.21,86.783,False
Templestowe,1590684.2105263157,1450000.0,224.73684210526315,30223000.0,19,387403.5089473684,888.0,7077.99,0.208,86.991,False
Bundoora,835027.7777777778,756500.0,160.41666666666666,30061000.0,36,238202.77722222224,538.4166666666666,5205.37,0.207,87.198,False
Mulgrave,1034310.3448275862,902000.0,157.44827586206895,29995000.0,29,305173.5627586207,633.7241379310345,6569.21,0.207,87.405,False
Greensborough,827180.5555555555,816000.0,150.72222222222223,29778500.0,36,258149.30583333332,651.2777777777778,5488.11,0.205,87.61,False
Epping,569062.5,560500.0,148.16423076923076,29591250.0,52,180658.65384615384,479.40384615384613,3840.75,0.204,87.814,False
East Melbourne,1337045.4545454546,897500.0,101.0,29415000.0,22,673155.3031818182,214.72727272727272,13238.07,0.203,88.017,False
Mitcham,964460.0,965500.0,155.95333333333335,28933800.0,30,315244.99966666667,511.3,6184.29,0.2,88.217,False
Melbourne,619445.6521739131,542500.0,76.3913043478261,28494500.0,46,356208.33304347825,251.67391304347825,8108.85,0.197,88.414,False
Kingsville,836476.4705882353,880000.0,112.55882352941177,28440200.0,34,335806.86264705885,235.35294117647058,7431.46,0.196,88.61,False
Mill Park,658575.5813953489,675000.0,152.49302325581394,28318750.0,43,201341.08581395348,560.5116279069767,4318.73,0.195,88.805,False
Essendon West,1088000.0,1080000.0,162.73076923076923,28288000.0,26,336734.20307692303,441.38461538461536,6685.89,0.195,89.0,False
Croydon,849772.7272727273,860000.0,156.43939393939394,28042500.0,33,265051.01,871.7878787878788,5431.96,0.193,89.193,False
Spotswood,935810.3448275862,871500.0,143.19310344827588,27138500.0,29,317875.0003448276,447.0,6535.3,0.187,89.38,False
Lalor,638750.0,665500.0,139.26190476190476,26827500.0,42,211708.33333333334,560.7619047619048,4586.68,0.185,89.565,False
Blackburn,1275523.8095238095,1350000.0,147.0952380952381,26786000.0,21,413321.42904761905,637.3333333333334,8671.41,0.185,89.75,False
